SERVICE_MONTH,MODE_TYPE,TOTAL_WEEKDAY_RIDERSHIP_COUNT,NUMBER_OF_WEEKDAYS,AVERAGE_WEEKDAY_RIDERSHIP_COUNT,ROUTE_OR_LINE
2016-08-01,RAIL,4229335,23,183884.12,GREEN LINE
2016-08-01,RAIL,4335012,23,188478.76,ORANGE LINE
2016-08-01,RAIL,6162958,23,267954.71,RED LINE
2016-08-01,THE RIDE,156522,23,6805.3,THE RIDE
2016-09-01,BUS,8065754,21,384083.53,BUS
2016-09-01,BUS,768046,21,36573.63,SILVER LINE
2016-09-01,COMMUTER RAIL,2662603,21,126790.62,COMMUTER RAIL
2016-09-01,FERRY,71201,22,3236.41,F1-HINGHAM-BOSTON
2016-09-01,FERRY,25186,22,1144.82,F2_F2H-Quincy-Boston-Logan-Hull-Georges
2016-09-01,FERRY,23333,22,1060.59,F4-BOSTON-CHARLESTOWN
2016-09-01,RAIL,1488671,21,70889.09,BLUE LINE
2016-09-01,RAIL,4286404,21,204114.49,GREEN LINE
2016-09-01,RAIL,4402131,21,209625.27,ORANGE LINE
2016-09-01,RAIL,6047718,21,287986.58,RED LINE
2016-09-01,THE RIDE,150322,21,7158.19,THE RIDE
2016-10-01,BUS,7913609,21,376838.55,BUS
2016-10-01,BUS,766494,21,36499.71,SILVER LINE
2016-10-01,COMMUTER RAIL,2625567,21,125027,COMMUTER RAIL
2016-10-01,FERRY,69678,21,3318,F1-HINGHAM-BOSTON
2016-10-01,FERRY,22053,21,1050.14,F2_F2H-Quincy-Boston-Logan-Hull-Georges
2016-10-01,FERRY,22379,21,1065.67,F4-BOSTON-CHARLESTOWN
2016-10-01,RAIL,1457281,21,69394.35,BLUE LINE
2016-10-01,RAIL,4249159,21,202340.89,GREEN LINE
2016-10-01,RAIL,4355302,21,207395.31,ORANGE LINE
2016-10-01,RAIL,6009258,21,286155.15,RED LINE
2016-10-01,THE RIDE,150326,21,7158.38,THE RIDE
2016-11-01,BUS,7721145,21,367673.57,BUS
2016-11-01,BUS,718312,21,34205.32,SILVER LINE
2016-11-01,COMMUTER RAIL,2594262,21,123536.29,COMMUTER RAIL
2016-11-01,FERRY,66818,21,3181.81,F1-HINGHAM-BOSTON
2016-11-01,FERRY,20214,21,962.57,F2_F2H-Quincy-Boston-Logan-Hull-Georges
2016-11-01,FERRY,13222,21,629.62,F4-BOSTON-CHARLESTOWN
2016-11-01,RAIL,1392037,21,66287.47,BLUE LINE
2016-11-01,RAIL,4044370,21,192589.03,GREEN LINE
2016-11-01,RAIL,4225842,21,201230.58,ORANGE LINE
2016-11-01,RAIL,5748288,21,273727.99,RED LINE
2016-11-01,THE RIDE,147798,21,7038,THE RIDE
